IP,timestamp,HTTP_method,request_path,status_code,content_length
192.168.1.1,01-03-2024 10:00,GET,/home,200,1024
192.168.1.2,01-03-2024 12:15,POST,/login,401,512
192.168.1.1,01-03-2024 09:30,GET,/about,200,2048
192.168.1.3,01-03-2024 14:22,PUT,/update,204,0
192.168.1.4,01-03-2024 15:45,DELETE,/resource,200,128
192.168.1.7,01-03-2024 10:05,GET,/profile,200,1536
192.168.1.5,01-03-2024 16:30,POST,/register,201,256
192.168.1.6,22-03-2024 06:45,DELETE,/signup,201,64
192.168.1.111,22-03-2024 07:45,GET,/signup,201,64
192.168.1.112,23-03-2024 23:45,DELETE,/signup,201,64
